platform_id,video_id,watch_count,total_time_watched,price_per_watch
16,883,883219,42394512,0.28
89,540,983770,58042430,0.22
79,581,768372,40723716,0.45
69,617,447030,15646050,0.16
149,701,673859,24932783,0.34
92,130,262565,7876950,0.32
134,955,680700,36757800,0.12
139,1812,359423,16892881,0.27
73,914,713909,40692813,0.17
45,567,157569,8981433,0.19
146,1421,941449,9414490,0.11
14,783,611509,4892072,0.49
131,1579,850127,17852667,0.39
132,1150,233051,6758479,0.33
113,101,875255,51640045,0.29
145,886,692512,15235264,0.26
129,260,280423,3925922,0.38
161,1631,1506,12048,0.5
45,1049,47403,568836,0.31
123,1116,342309,1711545,0.25
148,287,774233,19355825,0.21
69,312,416025,4576275,0.42
158,1716,1498,56924,0.34
101,1819,921638,12902932,0.23
135,611,46717,1027774,0.24
56,1662,117889,1532557,0.26
161,71,1502,39052,0.32
162,1584,1499,28481,0.29
116,198,606353,4850824,0.24
162,1234,1502,82610,0.13
87,795,444110,12879190,0.29
162,230,1492,43268,0.48
108,989,350593,3856523,0.23
157,1375,428668,21862068,0.18
161,1606,1500,40500,0.32
160,1414,2004,58116,0.35
24,1732,612503,7350036,0.42
159,1820,1510,37750,0.27
159,262,1516,39416,0.11
71,1112,992899,23829576,0.46
162,1853,1503,84168,0.28
161,1577,1508,63336,0.44
23,1484,284649,2277192,0.35
99,1678,955611,31535163,0.49
135,1945,153359,8434745,0.4
78,1254,494080,4940800,0.42
59,1109,498220,14448380,0.41
60,814,482611,21234884,0.44
116,1479,167329,2677264,0.5
160,99,2004,112224,0.25
96,438,140776,2252416,0.47
97,249,837928,10893064,0.38
91,1556,913777,46602627,0.47
110,764,578958,11000202,0.46
159,783,1508,12064,0.31
158,102,1503,30060,0.15
87,831,274869,14568057,0.38
158,178,1496,34408,0.29
105,1322,887054,44352700,0.4
123,1727,486221,21393724,0.26
114,403,966447,7731576,0.28
158,693,1502,58578,0.45
158,826,1498,23968,0.37
31,1698,853705,42685250,0.43
161,1013,1497,43413,0.47
161,1412,1506,64758,0.11
38,984,974785,17546130,0.25
159,640,1513,40851,0.5
12,551,564366,25396470,0.34
161,1467,1501,43529,0.46
90,32,473291,27924169,0.21
161,1375,1504,76704,0.39
133,1549,56501,3107555,0.26
160,1903,2001,64032,0.28
136,970,69681,1811706,0.33
158,99,1500,84000,0.22
116,1629,74942,3971926,0.23
159,1004,1511,48352,0.49
137,798,530158,14314266,0.37
92,417,766050,6128400,0.43
162,351,1499,34477,0.16
37,1522,866195,18190095,0.33
15,879,486674,21413656,0.44
120,1507,424973,20398704,0.13
140,470,333896,9682984,0.39
121,191,575722,29937544,0.41
108,1816,774583,37179984,0.17
27,1149,291951,8466579,0.3
54,147,788539,11828085,0.37
146,1677,583176,29158800,0.37
55,375,295300,5020100,0.38
58,1040,46208,2171776,0.24
114,267,821582,22182714,0.16
125,921,139654,8379240,0.41
70,1687,825573,24767190,0.29
146,1541,374232,5987712,0.12
33,1423,832949,24155521,0.48
23,1733,707030,13433570,0.24
62,518,827395,15720505,0.25
130,1365,752813,39899089,0.25
160,1749,2001,34017,0.4
66,360,777167,25646511,0.44
150,598,343587,2748696,0.35
111,1455,422485,10139640,0.49
34,1037,219765,9889425,0.45
158,1679,1501,18012,0.4
162,1187,1496,19448,0.21
76,20,489271,21038653,0.48
7,982,302367,16932552,0.29
60,1880,957198,27758742,0.3
120,1772,780875,33577625,0.14
42,927,142137,7248987,0.16
161,1875,1506,31626,0.32
20,1445,966451,29959981,0.12
125,973,811026,10543338,0.13
140,603,686815,19230820,0.34
141,1846,353783,15920235,0.43
34,1476,569077,16503233,0.41
137,1044,916737,44920113,0.47
160,790,2002,10010,0.47
160,569,2001,58029,0.5
97,6,367323,14692920,0.43
159,31,1509,64887,0.35
162,914,1494,85158,0.24
83,711,905196,47070192,0.37
41,1854,243978,1463868,0.39
4,1343,99605,2290915,0.31
123,291,200000,1000000,0.16
135,144,622497,34237335,0.21
134,137,369180,2215080,0.17
6,1335,645008,18705232,0.15
79,873,506914,4562226,0.28
157,607,380372,15595252,0.22
4,1950,510303,17860605,0.11
43,630,180552,8485944,0.43
153,406,645507,28402308,0.44
72,433,828300,37273500,0.38
100,73,517778,24853344,0.35
68,310,814720,17923840,0.47
71,755,251701,4782319,0.38
160,1985,2003,80120,0.47
158,814,1506,66264,0.15
67,603,267650,7494200,0.44
160,1971,1998,49950,0.13
159,593,1511,13599,0.13
89,1118,413757,5378841,0.49
162,1312,1498,41944,0.45
68,113,75717,1362906,0.38
112,1511,407499,16707459,0.47
114,1535,938996,17840924,0.49
108,584,634485,12689700,0.46
161,3,1498,86884,0.43
14,22,302500,16940000,0.24
158,1809,1499,25483,0.16
158,1566,1501,22515,0.43
109,1872,341537,3756907,0.42
41,1201,863302,39711892,0.41
63,1258,381810,19090500,0.13
128,1994,293840,4701440,0.23
160,681,2000,50000,0.29
56,1863,264786,14563230,0.26
72,1895,916415,17411885,0.35
119,1591,86074,3701182,0.21
162,398,1503,9018,0.26
160,1213,1997,17973,0.2
61,122,964289,52071606,0.15
141,319,275512,4408192,0.41
124,1474,543585,8153775,0.22
141,1526,54827,2960658,0.24
159,662,1516,16676,0.46
122,687,461651,12002926,0.28
129,1964,493909,23213723,0.2
42,0,361892,17370816,0.31
29,692,790482,35571690,0.3
52,1364,667154,15344542,0.24
82,1151,439779,25067403,0.49
117,334,418041,21738132,0.36
82,690,60096,1382208,0.44
145,1477,591383,30751916,0.31
161,1377,1499,89940,0.24
158,1963,1498,8988,0.23
59,1969,882574,20299202,0.25
58,132,8561,85610,0.18
159,310,1512,33264,0.3
161,143,1505,39130,0.17
97,164,915559,44862391,0.32
79,488,144759,2026626,0.42
76,1401,148449,8610042,0.1
150,1160,318668,12746720,0.42
8,72,786361,26736274,0.45
23,1945,406164,22339020,0.12
162,1425,1507,43703,0.16
162,1600,1494,67230,0.42
162,1406,1498,26964,0.17
159,1790,1511,55907,0.27
138,627,677599,7453589,0.14
158,338,1500,81000,0.34
158,276,1498,64414,0.17
13,898,256069,9730622,0.18
161,303,1500,45000,0.26
121,1940,548561,19199635,0.44
158,348,1494,7470,0.13
76,276,620619,26686617,0.49
161,1910,1502,43558,0.19
89,1328,113628,1249908,0.39
138,317,100892,3430328,0.21
136,365,397746,20682792,0.21
137,233,457286,8688434,0.25
61,1727,610814,26875816,0.31
5,915,561932,16296028,0.4
45,562,381343,9914918,0.41
28,431,749251,24725283,0.16
91,1897,288225,14987700,0.3
140,353,366951,10641579,0.42
102,1743,510197,3571379,0.22
158,1827,1500,46500,0.35
58,257,52739,1002041,0.45
8,1268,969518,24237950,0.13
161,1789,1502,43558,0.39
135,139,143462,4590784,0.43
48,1761,66969,1004535,0.25
