video_id,path,duration
2000,/videos/2020-02-01/essentialised-roisterous.mp4,41
2001,/root/bucket3/micturating-concealed.mp4,21
2002,/root/bucket1/emoter-bandoneons.mp4,42
2003,/videos/2020-02-02/glaucomatous-vaginitis.mp4,14
2004,/root/bucket4/thumblings-oar.mp4,19
2005,/videos/2020-02-01/cognoscenti-waterworn.mp4,47
2006,/root/bucket4/nutation-centripetalisms.mp4,54
2007,/root/bucket2/pepperer-rustication.mp4,57
2008,/root/bucket2/sonhood-sissyish.mp4,10
2009,/videos/2020-02-01/fallfish-stripiness.mp4,22
2010,/root/bucket5/vitalise-particularizing.mp4,55
2011,/root/bucket1/neafes-overadvertizing.mp4,15
2012,/root/bucket3/chats-conditionate.mp4,55
2013,/root/bucket4/avifaunas-perchlorate.mp4,8
2014,/root/bucket4/blastomeric-nincompoopery.mp4,32
2015,/root/bucket3/proportionments-mouchards.mp4,15
2016,/videos/2020-02-02/vellicative-chemisorb.mp4,23
2017,/root/bucket5/kazillions-geomedicines.mp4,52
2018,/videos/2020-02-02/untruisms-hermeticity.mp4,53
2019,/videos/2020-02-01/urson-repulser.mp4,23
2020,/videos/2020-02-04/abdicated-midbrain.mp4,60
2021,/root/bucket5/breastplough-leprosities.mp4,29
2022,/videos/2020-02-04/puce-nonhereditary.mp4,8
2023,/root/bucket2/onloads-ballyard.mp4,32
2024,/root/bucket4/sorely-phytonadiones.mp4,21
2025,/root/bucket2/dull-rigling.mp4,17
2026,/root/bucket3/pitchiness-latexes.mp4,43
2027,/root/bucket4/cauterized-appropriation.mp4,18
2028,/root/bucket3/uranite-apolipoprotein.mp4,39
2029,/root/bucket5/thyristor-unrefreshed.mp4,46
2030,/root/bucket4/unsophisticate-runout.mp4,45
2031,/root/bucket4/interplead-mythomaniac.mp4,22
2032,/root/bucket5/avifaunas-perchlorate.mp4,58
2033,/media/dionysian-shrimping.mp4,58
2034,/root/bucket1/vellicative-chemisorb.mp4,51
2035,/videos/2020-02-03/microbiological-singing.mp4,34
2036,/videos/2020-02-02/sorely-phytonadiones.mp4,44
2037,/root/bucket5/rutherfords-tallats.mp4,29
2038,/root/bucket3/friendings-ectogenesis.mp4,16
2039,/videos/2020-02-04/mucins-culicine.mp4,33
2040,/media/roue-mallanders.mp4,35
2041,/videos/2020-02-01/mycovirus-nattering.mp4,26
2042,/videos/2020-02-03/steamroller-mousepieces.mp4,17
2043,/videos/2020-02-04/fernier-odiousnesses.mp4,30
2044,/videos/2020-02-04/hopeful-supranationalism.mp4,18
2045,/videos/2020-02-03/knelled-hamada.mp4,44
2046,/root/bucket1/barters-unsteadies.mp4,48
2047,/media/morsels-borderline.mp4,16
2048,/root/bucket2/redbones-inapprehensible.mp4,42
2049,/media/patrialize-seedless.mp4,25
2050,/root/bucket1/fleecy-epacts.mp4,26
2051,/videos/2020-02-03/mitched-micromanipulations.mp4,54
2052,/media/musicotherapies-decretive.mp4,47
2053,/root/bucket5/autorotating-frijole.mp4,6
2054,/media/balletomania-falderaling.mp4,59
2055,/media/actualizes-sanest.mp4,58
2056,/root/bucket4/rutherfords-tallats.mp4,49
2057,/root/bucket1/sparteries-merchantable.mp4,30
